Property;InducedDomain;InducedRange;Confidence;T;GoldStandardDomain;GoldStandardRange;DomainSame;DomainMoreSpecific;DomainLessSpecific;RangeSame;RangeMoreSpecific;RangeLessSpecific
complexity;Food;http://www.w3.org/2001/XMLSchema#string;3;1.0;Food;http://www.w3.org/2001/XMLSchema#string;1;0;0;1;0;0
complexity;Food;http://www.w3.org/2001/XMLSchema#string;3;0.9;Food;http://www.w3.org/2001/XMLSchema#string;1;0;0;1;0;0
complexity;Food;http://www.w3.org/2001/XMLSchema#string;3;0.8;Food;http://www.w3.org/2001/XMLSchema#string;1;0;0;1;0;0
complexity;Food;http://www.w3.org/2001/XMLSchema#string;3;0.7;Food;http://www.w3.org/2001/XMLSchema#string;1;0;0;1;0;0
complexity;Food;http://www.w3.org/2001/XMLSchema#string;3;0.6;Food;http://www.w3.org/2001/XMLSchema#string;1;0;0;1;0;0
complexity;Food;http://www.w3.org/2001/XMLSchema#string;3;0.5;Food;http://www.w3.org/2001/XMLSchema#string;1;0;0;1;0;0
complexity;Food;http://www.w3.org/2001/XMLSchema#string;3;0.4;Food;http://www.w3.org/2001/XMLSchema#string;1;0;0;1;0;0
complexity;Food;http://www.w3.org/2001/XMLSchema#string;3;0.3;Food;http://www.w3.org/2001/XMLSchema#string;1;0;0;1;0;0
complexity;Food;http://www.w3.org/2001/XMLSchema#string;3;0.2;Food;http://www.w3.org/2001/XMLSchema#string;1;0;0;1;0;0
complexity;Food;http://www.w3.org/2001/XMLSchema#string;3;0.1;Food;http://www.w3.org/2001/XMLSchema#string;1;0;0;1;0;0
lastFlightEndDate;SpaceShuttle;http://www.w3.org/2001/XMLSchema#date;7;1.0;SpaceShuttle;http://www.w3.org/2001/XMLSchema#date;1;0;0;1;0;0
lastFlightEndDate;MeanOfTransportation;http://www.w3.org/2001/XMLSchema#date;7;1.0;SpaceShuttle;http://www.w3.org/2001/XMLSchema#date;0;0;1;1;0;0
lastFlightEndDate;SpaceShuttle;http://www.w3.org/2001/XMLSchema#date;7;0.9;SpaceShuttle;http://www.w3.org/2001/XMLSchema#date;1;0;0;1;0;0
lastFlightEndDate;MeanOfTransportation;http://www.w3.org/2001/XMLSchema#date;7;0.9;SpaceShuttle;http://www.w3.org/2001/XMLSchema#date;0;0;1;1;0;0
lastFlightEndDate;SpaceShuttle;http://www.w3.org/2001/XMLSchema#date;7;0.8;SpaceShuttle;http://www.w3.org/2001/XMLSchema#date;1;0;0;1;0;0
lastFlightEndDate;MeanOfTransportation;http://www.w3.org/2001/XMLSchema#date;7;0.8;SpaceShuttle;http://www.w3.org/2001/XMLSchema#date;0;0;1;1;0;0
lastFlightEndDate;SpaceShuttle;http://www.w3.org/2001/XMLSchema#date;7;0.7;SpaceShuttle;http://www.w3.org/2001/XMLSchema#date;1;0;0;1;0;0
