Property;Induced;Confidence;T;GoldStandard;Same;MoreSpecific;LessSpecific
complexity;http://www.w3.org/2001/XMLSchema#string;3;1.0;http://www.w3.org/2001/XMLSchema#string;1;0;0
complexity;http://www.w3.org/2001/XMLSchema#string;3;0.9;http://www.w3.org/2001/XMLSchema#string;1;0;0
complexity;http://www.w3.org/2001/XMLSchema#string;3;0.8;http://www.w3.org/2001/XMLSchema#string;1;0;0
complexity;http://www.w3.org/2001/XMLSchema#string;3;0.7;http://www.w3.org/2001/XMLSchema#string;1;0;0
complexity;http://www.w3.org/2001/XMLSchema#string;3;0.6;http://www.w3.org/2001/XMLSchema#string;1;0;0
complexity;http://www.w3.org/2001/XMLSchema#string;3;0.5;http://www.w3.org/2001/XMLSchema#string;1;0;0
complexity;http://www.w3.org/2001/XMLSchema#string;3;0.4;http://www.w3.org/2001/XMLSchema#string;1;0;0
complexity;http://www.w3.org/2001/XMLSchema#string;3;0.3;http://www.w3.org/2001/XMLSchema#string;1;0;0
complexity;http://www.w3.org/2001/XMLSchema#string;3;0.2;http://www.w3.org/2001/XMLSchema#string;1;0;0
complexity;http://www.w3.org/2001/XMLSchema#string;3;0.1;http://www.w3.org/2001/XMLSchema#string;1;0;0
lastFlightEndDate;http://www.w3.org/2001/XMLSchema#date;7;1.0;http://www.w3.org/2001/XMLSchema#date;1;0;0
lastFlightEndDate;http://www.w3.org/2001/XMLSchema#date;7;0.9;http://www.w3.org/2001/XMLSchema#date;1;0;0
lastFlightEndDate;http://www.w3.org/2001/XMLSchema#date;7;0.8;http://www.w3.org/2001/XMLSchema#date;1;0;0
lastFlightEndDate;http://www.w3.org/2001/XMLSchema#date;7;0.7;http://www.w3.org/2001/XMLSchema#date;1;0;0
lastFlightEndDate;http://www.w3.org/2001/XMLSchema#date;7;0.6;http://www.w3.org/2001/XMLSchema#date;1;0;0
lastFlightEndDate;http://www.w3.org/2001/XMLSchema#date;7;0.5;http://www.w3.org/2001/XMLSchema#date;1;0;0
lastFlightEndDate;http://www.w3.org/2001/XMLSchema#date;7;0.4;http://www.w3.org/2001/XMLSchema#date;1;0;0
lastFlightEndDate;http://www.w3.org/2001/XMLSchema#date;7;0.3;http://www.w3.org/2001/XMLSchema#date;1;0;0
lastFlightEndDate;http://www.w3.org/2001/XMLSchema#date;7;0.2;http://www.w3.org/2001/XMLSchema#date;1;0;0
lastFlightEndDate;http://www.w3.org/2001/XMLSchema#date;7;0.1;http://www.w3.org/2001/XMLSchema#date;1;0;0
