5 6 23 158 158 
5 6 23 158 139 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
5 6 23 8 158 158 
